s_true,E,B,s_hat,rel_bias,abs_bias,recovered,realistic
0.4,333333.3333333334,1.857,0.31337290854868544,-21.656772862828646,-0.08662709145131459,False,False
0.5,333333.3333333334,1.857,0.39395961281093494,-21.20807743781301,-0.10604038718906506,False,False
0.6,333333.3333333334,1.857,0.46674259066849333,-22.209568221917774,-0.13325740933150665,False,False
0.7,333333.3333333334,1.857,0.5400766659854948,-22.846190573500742,-0.1599233340145052,False,False
0.8,333333.3333333334,1.857,0.5829940191461346,-27.12574760673318,-0.21700598085386547,False,False
0.9,333333.3333333334,1.857,0.6684223120285525,-25.73085421904972,-0.2315776879714475,False,False
1.0,333333.3333333334,1.857,0.7950135243273064,-20.49864756726936,-0.20498647567269357,False,False
0.1,333333.3333333334,2.828,0.081496106286319,-18.50389371368101,-0.01850389371368101,False,False
0.2,333333.3333333334,2.828,0.16707346141105214,-16.463269294473935,-0.03292653858894787,False,False
0.3,333333.3333333334,2.828,0.2595787104634181,-13.47376317886062,-0.04042128953658186,False,False
0.4,333333.3333333334,2.828,0.33509127350310275,-16.22718162422432,-0.06490872649689727,False,False
0.5,333333.3333333334,2.828,0.4109058822547216,-17.818823549055686,-0.08909411774527842,False,False
0.6,333333.3333333334,2.828,0.5128126430200861,-14.531226163318978,-0.08718735697991387,False,False
0.7,333333.3333333334,2.828,0.6084853746957873,-13.073517900601802,-0.09151462530421262,False,False
0.8,333333.3333333334,2.828,0.6481301612516328,-18.983729843545905,-0.15186983874836724,False,False
0.9,333333.3333333334,2.828,0.7760326884580275,-13.77414572688583,-0.12396731154197249,False,False
1.0,333333.3333333334,2.828,0.8750064299332899,-12.499357006671008,-0.12499357006671008,False,False
0.1,333333.3333333334,4.309,0.10064034775099624,0.6403477509962369,0.0006403477509962369,True,False
0.2,333333.3333333334,4.309,0.1943116998118779,-2.844150094061054,-0.0056883001881221085,True,False
0.3,333333.3333333334,4.309,0.29438852828957074,-1.8704905701430834,-0.00561147171042925,True,False
0.4,333333.3333333334,4.309,0.3743193460644376,-6.420163483890601,-0.025680653935562403,True,False
0.5,333333.3333333334,4.309,0.45406101876381527,-9.187796247236946,-0.04593898123618473,True,False
