s,h,vaf0,delta_t,fisher,cr_bound,identifiable
0.1,1.0,0.03,3.0,21.157117286922016,0.2174061139129112,0
0.1,1.0,0.03,5.0,30.07946692384703,0.18233285502608418,0
0.1,1.0,0.03,6.63,40.2355131170331,0.15765045477860973,0
0.1,1.0,0.05,0.6,23.621251390334567,0.2057541242351006,0
0.1,1.0,0.05,1.5,27.038527000324983,0.19231293048709466,0
0.1,1.0,0.05,3.0,34.26459751576538,0.1708351300419416,0
0.1,1.0,0.05,5.0,47.455534076717555,0.14516321136469373,1
0.1,1.0,0.05,6.63,61.36567740293666,0.1276548247306051,1
0.1,1.0,0.1,0.6,45.76583561213345,0.14781867389950812,1
0.1,1.0,0.1,1.5,51.80402142174281,0.13893711060312103,1
0.1,1.0,0.1,3.0,63.89563635957215,0.1251020424336389,1
0.1,1.0,0.1,5.0,83.58722494861061,0.1093780172502186,1
0.1,1.0,0.1,6.63,101.16416200985584,0.09942295246162684,1
0.1,1.0,0.15,0.6,66.46350691886626,0.12266152888501165,1
0.1,1.0,0.15,1.5,74.42927425015256,0.11591192218677279,1
0.1,1.0,0.15,3.0,89.55934656999955,0.10566825653108765,1
0.1,1.0,0.15,5.0,111.7513256320305,0.09459619289706751,1
0.1,1.0,0.15,6.63,128.92094207244202,0.08807208235126239,1
0.28,0.0,0.01,0.6,102.61858598027783,0.0987158721792902,1
0.28,0.0,0.01,1.5,158.45713815694944,0.07944088907625928,1
0.28,0.0,0.01,3.0,339.6020019813113,0.05426438422144176,1
0.28,0.0,0.01,5.0,723.317369005486,0.037182240278756204,1
0.28,0.0,0.01,6.63,967.9516709949007,0.03214201970849172,1
0.28,0.0,0.03,0.6,295.5714619793539,0.058165939887346176,1
0.28,0.0,0.03,1.5,430.1573587216651,0.04821546078765388,1
0.28,0.0,0.03,3.0,745.8092924892808,0.036617282018798054,1
0.28,0.0,0.03,5.0,1105.5680998068092,0.030075111802995037,1
0.28,0.0,0.03,6.63,1266.3365135105792,0.028101236840870923,1
0.28,0.0,0.05,0.6,473.2132007472801,0.04596968992999233,1
0.28,0.0,0.05,1.5,654.778380160632,0.03907984516795018,1
0.28,0.0,0.05,3.0,994.2923860239514,0.03171341006320225,1
0.28,0.0,0.05,5.0,1287.75226817875,0.02786659066496273,1
0.28,0.0,0.05,6.63,1407.4726108763384,0.026655082057586727,1
0.28,0.0,0.1,0.6,857.6403478169001,0.0341465945501246,1
0.28,0.0,0.1,1.5,1075.8547351806126,0.030487596092961484,1
0.28,0.0,0.1,3.0,1358.634411726513,0.02712993135267208,1
0.28,0.0,0.1,5.0,1535.966648224851,0.02551579517276843,1
0.28,0.0,0.1,6.63,1601.9758789642303,0.02498457772812722,1
0.28,0.0,0.15,0.6,1168.3403284191288,0.02925602484205286,1
0.28,0.0,0.15,1.5,1366.6282807571251,0.027050468929344176,1
0.28,0.0,0.15,3.0,1570.6670135773065,0.02523236384795252,1
0.28,0.0,0.15,5.0,1680.0088392239743,0.024397437640935934,1
0.28,0.0,0.15,6.63,1717.8230598949494,0.024127414528940253,1
0.28,0.2,0.01,0.6,43.81590866504357,0.15107203824152388,0
0.28,0.2,0.01,1.5,68.19775871218486,0.12109185968907282,1
0.28,0.2,0.01,3.0,151.30241186554954,0.08129747824484565,1
0.28,0.2,0.01,5.0,350.77524409564415,0.05339314862887595,1
0.28,0.2,0.01,6.63,483.63612509673555,0.04547164163245884,1
0.28,0.2,0.03,0.6,127.24650823416354,0.0886496577262347,1
0.28,0.2,0.03,1.5,189.00158388516073,0.07273899195705409,1
0.28,0.2,0.03,3.0,348.4487463466009,0.053571097877520464,1
0.28,0.2,0.03,5.0,549.1751464965797,0.042672153709668155,1
0.28,0.2,0.03,6.63,633.6957797088776,0.03972460546464697,1
