scenario,axis,s_true,h_true,s_inf,h_inf,s_err,h_err,s_lo,s_hi,h_lo,h_hi,s_in_ci,h_in_ci,h_ci_width,h_overlap_010,h_mass_015,h_entropy,rho,fisher_h,cr_bound_h,elapsed_s,status
delta_t=3.0y (mid),delta_t,0.3,0.0,0.31406779661016954,0.0,0.014067796610169547,0.0,0.2155761639241554,0.2976783994121324,0.00793713089456632,0.7259606958085787,0,0,0.7180235649140124,0.35689797107186666,0.22963747684483568,0.94561498969369,0.6231113438085356,438.4738375656624,0.04775602350651051,0.6531174580000005,ok
delta_t=3.0y (mid),delta_t,0.3,0.3,0.26338983050847464,0.7088607594936709,-0.036610169491525346,0.4088607594936709,0.2157780589697358,0.2996154022272459,0.03055365624000683,0.9515179652964503,0,1,0.9209643090564434,0.3208682485818616,0.19324586141616862,0.9916679245843038,0.5535669729584412,301.0474948390074,0.057634494871615614,0.6414154580000009,ok
delta_t=3.0y (mid),delta_t,0.3,0.6,0.36474576271186443,0.0,0.06474576271186444,-0.6,0.26802235878604047,0.36146285472323064,0.02997921104646743,0.9444957823153262,1,1,0.9145165712688588,0.4121367740546465,0.27626023286929324,0.9991740711360438,0.4979874605931108,222.7375683556919,0.06700439079590219,0.6439191250000018,ok
delta_t=3.0y (mid),delta_t,0.3,1.0,0.31406779661016954,0.4050632911392405,0.014067796610169547,-0.5949367088607596,0.2653767805513165,0.34894752240279625,0.02742045913923892,0.7234999658356083,1,0,0.6960795066963693,0.05477267098396817,0.01827450813249742,0.9431851151283001,0.43919272577795726,160.4538395713277,0.07894505706657433,0.6479575410000002,ok
delta_t=3.0y (mid),delta_t,0.6,0.0,0.5674576271186441,0.3037974683544304,-0.03254237288135586,0.3037974683544304,0.4718945030338352,0.6080787619211381,0.02728859105232328,0.9463414277167546,1,0,0.9190528366644313,0.28519823563357766,0.1705681550802094,0.9976643756322735,0.9609385877864436,949.6564982215249,0.03245015143274092,0.638605541999997,ok
delta_t=3.0y (mid),delta_t,0.6,0.3,0.7194915254237289,0.11392405063291139,0.11949152542372887,-0.1860759493670886,0.5929269273353256,0.8044645276928464,0.02354383718207067,0.2203079836172422,1,0,0.1967641464351715,0.2562461523403285,0.2829852862008638,0.6715057040611412,0.9485875315890964,857.4428273947021,0.03415052732626853,0.6487959580000009,ok
delta_t=3.0y (mid),delta_t,0.6,0.6,0.5674576271186441,0.7088607594936709,-0.03254237288135586,0.10886075949367091,0.49765852957893186,0.5925677990246925,0.5583468526530087,0.889472829973566,0,1,0.3311259773205574,0.505996641219079,0.7447580457236661,0.7408083173411204,0.9365499454674516,908.3708725854112,0.033179390211078484,0.6542042919999993,ok
delta_t=3.0y (mid),delta_t,0.6,1.0,0.5674576271186441,0.9240506329113924,-0.03254237288135586,-0.07594936708860756,0.5006700092339218,0.564991759038086,0.7972449929715455,0.9909061687904648,0,0,0.19366117581891928,0.9042471701576924,0.7984663197803432,0.6567421884931959,0.9209671675989607,1743.7781813869792,0.02394718009474629,0.6488204169999996,ok
delta_t=3.0y (mid),delta_t,1.0,0.0,0.9728813559322035,0.0759493670886076,-0.027118644067796516,0.0759493670886076,0.8330685918592647,1.0633286517842981,0.012806741236061323,0.14639130132213748,1,0,0.13358456008607617,0.7478648565694953,0.9105338811937697,0.5842804311113581,0.9988905440229229,1267.5414489197144,0.028087877030780774,0.6451386670000012,ok
delta_t=3.0y (mid),delta_t,1.0,0.3,1.1249152542372882,0.31645569620253167,0.12491525423728822,0.016455696202531678,1.0028588534504506,1.2146276736068655,0.2318904799973466,0.3749114739550652,0,1,0.14302099395771858,0.613515964897235,0.9989551860640642,0.6038578085390401,0.9985212722250199,1272.0947341699618,0.028037563653553574,0.6479603750000003,ok
delta_t=3.0y (mid),delta_t,1.0,0.6,0.8715254237288137,0.6582278481012658,-0.1284745762711863,0.0582278481012658,0.773153380714077,0.9200236425188816,0.485436148133532,0.8691924329399933,0,1,0.3837562848064613,0.7636494414876819,0.7261203927696666,0.8268345950012943,0.9981522733524535,1608.1721217489358,0.02493639883125809,0.639340666999999,ok
delta_t=3.0y (mid),delta_t,1.0,1.0,1.0235593220338985,0.9873417721518987,0.023559322033898544,-0.012658227848101333,0.9282310375407045,1.0412532655320048,0.9551566397450575,0.9975042420540045,1,0,0.04234760230894696,0.35131574391655557,0.9999999999565115,0.3021863454007974,0.9976606988835103,56102.56442999165,0.004221906814905057,0.6483413330000012,ok
delta_t=6.63y (best),delta_t,0.1,0.0,0.11135593220338984,0.05063291139240506,0.011355932203389832,0.05063291139240506,0.06321028802156176,0.10882227783114376,0.023239914666093757,0.9095258885214146,1,0,0.8862859738553208,0.3236140634016842,0.1964720001686088,0.9896891585595717,0.4481311289843621,305.869902886002,0.05717835114110921,0.6688318749999986,ok
delta_t=6.63y (best),delta_t,0.1,0.3,0.11135593220338984,0.0,0.011355932203389832,-0.3,0.06321186390406516,0.10882203387184644,0.0,0.15566172144291934,1,0,0.15566172144291934,0.13500957795449153,0.06683140767538366,0.5772361677317833,0.3785031023875225,195.9244212666377,0.07144234704775616,0.6497238329999995,ok
delta_t=6.63y (best),delta_t,0.1,0.6,0.11135593220338984,0.34177215189873417,0.011355932203389832,-0.2582278481012658,0.06321186466219236,0.10882203875500493,0.05026431698370001,0.9288477757055953,1,1,0.8785834587218952,0.44411150435646096,0.30536192791592054,0.9969553814947183,0.327602169403651,136.70533544039895,0.08552779341957119,0.6429787919999974,ok
delta_t=6.63y (best),delta_t,0.1,1.0,0.11135593220338984,0.0379746835443038,0.011355932203389832,-0.9620253164556962,0.06321186437971427,0.10882203389703862,0.0034219389224722195,0.497740713526976,1,0,0.4943187746045038,0.013197429452945967,0.0022124493302593954,0.8502549966759059,0.2777923159160988,92.20247437041131,0.10414267098068179,0.6502006250000001,ok
delta_t=6.63y (best),delta_t,0.3,0.0,0.6181355932203391,0.0,0.3181355932203391,0.0,0.237333828964478,0.776081721642797,0.0,0.07436506079160556,1,1,0.07436506079160556,0.4341418477192493,0.9607632730933474,0.3770950832392089,0.9774624137153556,1022.6267607070101,0.031270975067586956,0.6585886250000001,ok
delta_t=6.63y (best),delta_t,0.3,0.3,0.26338983050847464,0.5316455696202531,-0.036610169491525346,0.23164556962025312,0.21895799996113746,0.6486697487742755,0.13143104537845293,0.606848198555649,1,1,0.475417153177196,0.6599754973387721,0.6886141054596743,0.8460448433578026,0.9701739539823582,951.8339009795528,0.03241301391117572,0.6572509589999989,ok
delta_t=6.63y (best),delta_t,0.3,0.6,0.31406779661016954,0.5443037974683544,0.014067796610169547,-0.05569620253164553,0.26587874531210887,0.3116165265277673,0.4614896273495049,0.6010407375630246,1,1,0.13955111021351968,0.522011755007656,0.9722760329697323,0.5988121364285053,0.9629933827452472,1059.9280809155114,0.030715797865062237,0.6531122919999994,ok
delta_t=6.63y (best),delta_t,0.3,1.0,0.26338983050847464,1.0,-0.036610169491525346,0.0,0.2153657846027428,0.2631363481300788,0.9460933669422128,0.9988870228846981,0,0,0.05279365594248531,0.35546480946003356,0.9991553701094994,0.2819945934613527,0.953583014310257,2974.0206803295746,0.01833698830214956,0.6494115830000027,ok
delta_t=6.63y (best),delta_t,0.6,0.0,0.7194915254237289,0.0,0.11949152542372887,0.0,0.5887528594780852,0.9937733337314331,0.0,0.060984210917910994,1,1,0.060984210917910994,0.5222768148934689,0.9994356350796626,0.4003329755940884,0.9999409327830163,1397.0890710098015,0.02675395254135186,0.6433252920000001,ok
delta_t=6.63y (best),delta_t,0.6,0.3,1.378305084745763,0.34177215189873417,0.778305084745763,0.04177215189873418,0.4655050072402103,2.8666974545359944,0.2955663059590903,0.37908735594789794,1,1,0.08352104998880766,0.39279380314092444,0.9974915170941819,0.4837483501384067,0.9999212452612962,1442.459886259659,0.02632983440374874,0.6529139169999993,ok
delta_t=6.63y (best),delta_t,0.6,0.6,0.5674576271186441,0.6582278481012658,-0.03254237288135586,0.0582278481012658,0.429531445245845,0.844645090525316,0.5160645717032829,0.9126334994427368,1,1,0.39656892773945385,0.7458376471793567,0.7513003849868833,0.7925480834394483,0.9999015585148037,1877.3295327097126,0.023079677920808873,0.6565589580000015,ok
delta_t=6.63y (best),delta_t,0.6,1.0,0.6181355932203391,0.9873417721518987,0.018135593220339086,-0.012658227848101333,0.552735807652932,0.6475122100606501,0.9665275741530919,0.998376384967889,1,0,0.03184881081479718,0.2604267250259159,1.0,0.23068780275502163,0.9998753107253106,1020984.1269087897,0.0009896702261693853,0.6574356670000014,ok
delta_t=6.63y (best),delta_t,1.0,0.0,1.0742372881355933,0.0,0.07423728813559327,0.0,0.9226437375161587,1.228742569961026,0.0,0.04752678274039297,1,1,0.04752678274039297,0.45314854663043114,0.9999959344303483,0.3633500916833017,0.9999999792926151,1514.6944554734891,0.02569434091921421,0.6457139170000019,ok
