s,h,vaf0,delta_t,rho,identifiable
0.1,1.0,0.05,5.0,0.13385492771654883,0
0.1,1.0,0.05,6.63,0.20128283638409927,0
0.1,1.0,0.1,0.6,0.07877872208546723,0
0.1,1.0,0.1,1.5,0.10073745739450501,0
0.1,1.0,0.1,3.0,0.14943271077355058,0
0.1,1.0,0.1,5.0,0.24249347845218816,0
0.1,1.0,0.1,6.63,0.3429766183450151,0
0.1,1.0,0.15,0.6,0.11740628060470115,0
0.1,1.0,0.15,1.5,0.14839760199773364,0
0.1,1.0,0.15,3.0,0.21463248659653014,0
0.1,1.0,0.15,5.0,0.3324278617431193,0
0.1,1.0,0.15,6.63,0.44813112898436197,0
0.28,0.0,0.01,0.6,0.032678286450172,0
0.28,0.0,0.01,1.5,0.06711838548907977,0
0.28,0.0,0.01,3.0,0.20232590908179995,0
0.28,0.0,0.01,5.0,0.5764408849420094,1
0.28,0.0,0.01,6.63,0.8425572486167067,1
0.28,0.0,0.03,0.6,0.09556227586630503,0
0.28,0.0,0.03,1.5,0.18369139715652724,0
0.28,0.0,0.03,3.0,0.4423733822134464,0
0.28,0.0,0.03,5.0,0.8097620353506281,1
0.28,0.0,0.03,6.63,0.9436229595104261,1
0.28,0.0,0.05,0.6,0.15535224738154874,0
0.28,0.0,0.05,1.5,0.2814613057869181,0
0.28,0.0,0.05,3.0,0.5800004946055375,1
0.28,0.0,0.05,5.0,0.8810881717184373,1
0.28,0.0,0.05,6.63,0.9668171246955208,1
0.28,0.0,0.1,0.6,0.29270255662580486,0
0.28,0.0,0.1,1.5,0.46846831015170387,0
0.28,0.0,0.1,3.0,0.7565221131231458,1
0.28,0.0,0.1,5.0,0.9434119731340402,1
0.28,0.0,0.1,6.63,0.9849750719117815,1
0.28,0.0,0.15,0.6,0.4150086104331595,0
0.28,0.0,0.15,1.5,0.6017356239094062,1
0.28,0.0,0.15,3.0,0.8419357540767629,1
0.28,0.0,0.15,5.0,0.9661932095079331,1
0.28,0.0,0.15,6.63,0.9911802435290678,1
0.28,0.2,0.01,0.6,0.023428230794154646,0
0.28,0.2,0.01,1.5,0.048609458794797146,0
0.28,0.2,0.01,3.0,0.15263184154979764,0
0.28,0.2,0.01,5.0,0.4914742003069675,0
0.28,0.2,0.01,6.63,0.7916819105676637,1
0.28,0.2,0.03,0.6,0.06900465374417201,0
0.28,0.2,0.03,1.5,0.13633376826572674,0
0.28,0.2,0.03,3.0,0.35753471296565,0
0.28,0.2,0.03,5.0,0.7491191020509914,1
0.28,0.2,0.03,6.63,0.9215155885955224,1
0.28,0.2,0.05,0.6,0.11295067631291114,0
0.28,0.2,0.05,1.5,0.2133332266327226,0
0.28,0.2,0.05,3.0,0.48876455228768295,0
0.28,0.2,0.05,5.0,0.8368603519551744,1
0.28,0.2,0.05,6.63,0.9527657876615883,1
0.28,0.2,0.1,0.6,0.2162322853310126,0
0.28,0.2,0.1,1.5,0.37010661334425343,0
